iteration,agent_type,zone_id,node_id,pred,label_cost
0,activity,1,1,-1,0.000000,
0,info,1,1,-1,0.000000,
0,sov,1,1,-1,0.000000,
0,vms,1,1,-1,0.000000,
0,activity,1,2,12,11.566613,
0,info,1,2,12,11.566613,
0,sov,1,2,12,11.566613,
0,vms,1,2,12,11.566613,
0,activity,1,3,1,1.212181,
0,info,1,3,1,1.212181,
0,sov,1,3,1,1.212181,
0,vms,1,3,1,1.212181,
0,activity,1,4,3,2.388042,
0,info,1,4,3,2.388042,
0,sov,1,4,3,2.388042,
0,vms,1,4,3,2.388042,
0,activity,1,5,4,3.516681,
0,info,1,5,4,3.516681,
0,sov,1,5,4,3.516681,
0,vms,1,5,4,3.516681,
0,activity,1,6,5,4.808210,
0,info,1,6,5,4.808210,
0,sov,1,6,5,4.808210,
0,vms,1,6,5,4.808210,
0,activity,1,7,6,5.983344,
0,info,1,7,6,5.983344,
0,sov,1,7,6,5.983344,
0,vms,1,7,6,5.983344,
0,activity,1,8,7,7.263232,
0,info,1,8,7,7.263232,
0,sov,1,8,7,7.263232,
0,vms,1,8,7,7.263232,
0,activity,1,9,8,8.322032,
0,info,1,9,8,8.322032,
0,sov,1,9,8,8.322032,
0,vms,1,9,8,8.322032,
0,activity,1,10,9,9.322636,
0,info,1,10,9,9.322636,
0,sov,1,10,9,9.322636,
0,vms,1,10,9,9.322636,
0,activity,1,11,10,10.253468,
0,info,1,11,10,10.253468,
0,sov,1,11,10,10.253468,
0,vms,1,11,10,10.253468,
0,activity,1,12,11,10.867128,
0,info,1,12,11,10.867128,
0,sov,1,12,11,10.867128,
0,vms,1,12,11,10.867128,
0,activity,1,14,1,0.477582,
0,info,1,14,1,0.477582,
0,sov,1,14,1,0.477582,
0,vms,1,14,1,0.477582,
0,activity,1,15,14,0.871125,
0,info,1,15,14,0.871125,
0,sov,1,15,14,0.871125,
0,vms,1,15,14,0.871125,
0,activity,1,16,15,1.294357,
0,info,1,16,15,1.294357,
0,sov,1,16,15,1.294357,
0,vms,1,16,15,1.294357,
0,activity,1,17,16,1.957825,
0,info,1,17,16,1.957825,
0,sov,1,17,16,1.957825,
0,vms,1,17,16,1.957825,
0,activity,1,18,17,2.586314,
0,info,1,18,17,2.586314,
0,sov,1,18,17,2.586314,
0,vms,1,18,17,2.586314,
0,activity,1,19,18,3.261367,
0,info,1,19,18,3.261367,
0,sov,1,19,18,3.261367,
0,vms,1,19,18,3.261367,
0,activity,1,20,19,4.006277,
0,info,1,20,19,4.006277,
0,sov,1,20,19,4.006277,
0,vms,1,20,19,4.006277,
0,activity,1,21,20,4.704618,
0,info,1,21,20,4.704618,
0,sov,1,21,20,4.704618,
0,vms,1,21,20,4.704618,
0,activity,1,22,21,5.531025,
0,info,1,22,21,5.531025,
0,sov,1,22,21,5.531025,
0,vms,1,22,21,5.531025,
0,activity,1,23,22,6.192927,
0,info,1,23,22,6.192927,
0,sov,1,23,22,6.192927,
0,vms,1,23,22,6.192927,
0,activity,1,24,23,7.044065,
0,info,1,24,23,7.044065,
0,sov,1,24,23,7.044065,
0,vms,1,24,23,7.044065,
0,activity,1,25,24,7.905345,
0,info,1,25,24,7.905345,
0,sov,1,25,24,7.905345,
0,vms,1,25,24,7.905345,
0,activity,1,26,25,8.778266,
0,info,1,26,25,8.778266,
0,sov,1,26,25,8.778266,
0,vms,1,26,25,8.778266,
0,activity,1,27,26,9.499882,
0,info,1,27,26,9.499882,
0,sov,1,27,26,9.499882,
0,vms,1,27,26,9.499882,
0,activity,1,28,27,10.279715,
0,info,1,28,27,10.279715,
0,sov,1,28,27,10.279715,
0,vms,1,28,27,10.279715,
0,activity,1,29,28,10.891094,
0,info,1,29,28,10.891094,
0,sov,1,29,28,10.891094,
0,vms,1,29,28,10.891094,
0,activity,1,30,1,3.207222,
0,info,1,30,1,3.207222,
0,sov,1,30,1,3.207222,
0,vms,1,30,1,3.207222,
0,activity,1,31,36,5.460025,
0,info,1,31,36,5.460025,
0,sov,1,31,36,5.460025,
0,vms,1,31,36,5.460025,
0,activity,1,32,33,8.022041,
0,info,1,32,33,8.022041,
0,sov,1,32,33,8.022041,
0,vms,1,32,33,8.022041,
0,activity,1,33,38,6.881178,
0,info,1,33,38,6.881178,
0,sov,1,33,38,6.881178,
0,vms,1,33,38,6.881178,
0,activity,1,34,2,13.349746,
0,info,1,34,2,13.349746,
0,sov,1,34,2,13.349746,
0,vms,1,34,2,13.349746,
0,activity,1,35,33,9.925081,
0,info,1,35,33,9.925081,
0,sov,1,35,33,9.925081,
0,vms,1,35,33,9.925081,
0,activity,1,36,4,4.248937,
0,info,1,36,4,4.248937,
0,sov,1,36,4,4.248937,
0,vms,1,36,4,4.248937,
0,activity,1,37,31,6.013297,
0,info,1,37,31,6.013297,
0,sov,1,37,31,6.013297,
0,vms,1,37,31,6.013297,
0,activity,1,38,7,6.368994,
0,info,1,38,7,6.368994,
0,sov,1,38,7,6.368994,
0,vms,1,38,7,6.368994,
0,activity,1,39,23,6.648247,
0,info,1,39,23,6.648247,
0,sov,1,39,23,6.648247,
0,vms,1,39,23,6.648247,
0,activity,1,40,35,10.391088,
0,info,1,40,35,10.391088,
0,sov,1,40,35,10.391088,
0,vms,1,40,35,10.391088,
0,activity,1,41,35,10.659704,
0,info,1,41,35,10.659704,
0,sov,1,41,35,10.659704,
0,vms,1,41,35,10.659704,
0,activity,1,42,7,6.199208,
0,info,1,42,7,6.199208,
0,sov,1,42,7,6.199208,
0,vms,1,42,7,6.199208,
0,activity,1,43,23,6.512407,
0,info,1,43,23,6.512407,
0,sov,1,43,23,6.512407,
0,vms,1,43,23,6.512407,
0,activity,1,44,11,12.405821,
0,info,1,44,11,12.405821,
0,sov,1,44,11,12.405821,
0,vms,1,44,11,12.405821,
0,activity,1,45,44,14.640574,
0,info,1,45,44,14.640574,
0,sov,1,45,44,14.640574,
0,vms,1,45,44,14.640574,
0,activity,1,46,45,16.309439,
0,info,1,46,45,16.309439,
0,sov,1,46,45,16.309439,
0,vms,1,46,45,16.309439,
0,activity,1,47,2,13.024145,
0,info,1,47,2,13.024145,
0,sov,1,47,2,13.024145,
0,vms,1,47,2,13.024145,
0,activity,1,48,47,15.060995,
0,info,1,48,47,15.060995,
0,sov,1,48,47,15.060995,
0,vms,1,48,47,15.060995,
0,activity,1,49,48,16.896570,
0,info,1,49,48,16.896570,
0,sov,1,49,48,16.896570,
0,vms,1,49,48,16.896570,
0,activity,1,50,47,14.023231,
0,info,1,50,47,14.023231,
0,sov,1,50,47,14.023231,
0,vms,1,50,47,14.023231,
